transaction_number,customer_number,item_name,sale_amount
13551,1674,LATTE HOT COFFEE,273.5
28037,642,#N/A,1430.5
13321,7910,FLAVOURED HTO COFFEE,178
9677,10666,LEMONADE,90.5
6821,9442,AMERICAN HOT COFFEE,112.5
15289,872,FOOD134,184
8673,3261,FRAPPE,110.5
10019,6018,#N/A,546
31229,1251,CHEESE SLICE,127.5
23413,10063,HOT LATTE,407
21709,4733,COMBO1,236.5
27457,7386,ADD ON ESPRESSO,124
4523,7535,VANILLA ICE CREAMS,58
2759,667,LATTE HOT COFFEE,65
11759,3945,TOPPING,404
15381,10369,ESPRESSO HOT COFFEE,51.5
29945,268,TOPPING SYRUPS,201
19743,148,FRAPPE,236.5
10263,5273,CHEESE SLICE,855.5
18331,1951,WHIPPED CREAM,567
13259,509,AMERICAN HOT COFFEE,66.5
16285,8366,FLAVOURED TEA1,133.5
17055,1357,COMBO1,147
24143,3983,OTHER DRINKS,312.5
10831,391,MISCELLANEOUS,118.5
1493,2875,TOPPING SYRUPS,175
25313,7913,MISCELLANEOUS,260
31673,3060,DARK HOT COFFEE,455
16913,1415,MISCELLANEOUS,75.5
24319,568,MISCELLANEOUS,179
29531,9705,COMBO42,336
30891,5636,VANILLA ICE CREAMS,230
14063,554,ARABIAN HOT COFFEE,138
6499,8375,ARABIAN HOT COFFEE,256
25287,7021,FLAVOURED TEA9,206
20047,10096,HOT LATTE,194.5
24437,8484,MISCELLANEOUS,812
737,10602,MILKSHAKE,317.5
28621,10374,CHEESE SLICE,284
18567,1840,MISCELLANEOUS,330
2129,5459,DARK COLD COFFEE,189
9555,5153,AMERICAN HOT COFFEE,176
3919,3556,AMERICAN HOT COFFEE,273.5
10425,3423,DARK COLD COFFEE,275
28229,8137,VANILLA ICE CREAMS,282.5
17235,5421,AMERICAN HOT COFFEE,352
13629,8657,FRAPPE,253.5
19657,7620,ARABIAN COLD COFFEE,79
22621,8210,ADD ON TEA,29
19735,4037,AMERICAN HOT COFFEE,115.5
31275,2253,MISCELLANEOUS,7.5
13753,10184,VANILLA ICE CREAMS,333.5
3701,6287,FOOD5,142
12989,2287,WHIPPED CREAM,170
26991,4124,MISCELLANEOUS,400
6739,9500,MISCELLANEOUS,306.5
33053,1476,HOT CHOCOLATE,23
1061,8555,TOPPING SYRUPS,154
18659,9651,FOOD130,774
6637,5698,SUPER COLD COFFEE,206.5
1623,7665,AMERICAN HOT COFFEE,105
14499,1179,WHIPPED CREAM,346.5
10311,9657,ARABIAN HOT COFFEE,995
14489,8584,FRAPPE,335
1383,10236,MISCELLANEOUS,282.5
10095,5700,COMBO1,73.5
15479,1157,FOOD43,2425.5
16579,7940,CHEESE SLICE,660.5
10479,4147,TOPPING SYRUPS,106.5
31049,4695,LATTE HOT COFFEE,335.5
19939,3972,MISCELLANEOUS,202.5
32981,5521,FRAPPE,307
13871,4666,TOPPING SYRUPS,656
18635,2056,VANILLA ICE CREAMS,58
17699,3799,DARK HOT COFFEE,181.5
22407,9877,TOPPING SYRUPS,256
29257,7055,FOOD70,941
20353,7540,AMERICAN HOT COFFEE,61.5
12211,2437,FOOD70,211.5
18185,5209,AMERICAN HOT COFFEE,417.5
34263,7852,AMERICAN HOT COFFEE,185.5
5585,8186,AMERICAN HOT COFFEE,58
31765,7141,HOT CHOCOLATE,721
4831,2938,MISCELLANEOUS,146.5
13373,3041,FLAVOURED TEA3,155.5
15677,10560,FOOD9,84
13695,4734,VANILLA ICE CREAMS,236.5
4613,3174,MILKSHAKE,55
18913,3454,MISCELLANEOUS,181.5
1157,9795,DARK HOT COFFEE,212
32483,4118,LATTE HOT COFFEE,34
30305,3365,FOOD122,1759
26471,5754,FRAPPE,165.5
19061,738,TOPPING SYRUPS,115.5
19771,3627,LATTE HOT COFFEE,136
3229,6278,VANILLA ICE CREAMS,1500.5
18879,6637,HOT CHOCOLATE,21
23089,4666,AMERICAN HOT COFFEE,271.5
15557,9886,CHEESE SLICE,312
6611,10129,COMBO1,254.5
23545,8612,AMERICAN HOT COFFEE,132.5
32591,5348,VANILLA ICE CREAMS,424
4281,5778,MISCELLANEOUS,154
31593,594,MILKSHAKE,265
31533,10052,HOT CHOCOLATE,296
24543,6514,AMERICAN HOT COFFEE,249
33353,6641,DARK COLD COFFEE,107
11221,4038,FOOD36,44
28243,559,ICE CREAM8,281.5
14099,7290,AMERICAN HOT COFFEE,471
30543,3700,TOPPING SYRUPS,624
13671,1236,FOOD13,90
12193,1190,MISCELLANEOUS,181
21379,7366,AMERICAN HOT COFFEE,333
34765,5648,MISCELLANEOUS,39.5
615,9537,FLAVOURED HTO COFFEE,168.5
26005,10086,MISCELLANEOUS,475
6527,6150,NATURAL DRINK 1,73
34669,8364,COMBO20,0
34495,4997,FRAPPE,877.5
9455,4103,MISCELLANEOUS,215.5
33821,9988,DARK COLD COFFEE,497
27861,7200,DARK HOT COFFEE,423
27987,6539,COMBO1,322
6369,3881,VANILLA ICE CREAMS,189
10415,10495,HOT CAPPUCCINO,257.5
32239,7336,VANILLA ICE CREAMS,245
8867,214,FRAPPE,214
1275,9983,CHOCOLATE ICE CREAMS,132
16777,3057,LATTE HOT COFFEE,183
10773,3324,MISCELLANEOUS,390.5
13291,2166,CHEESE SLICE,370
30315,9685,COMBO44,219.5
27005,7851,LEMONADE,429
12201,369,AMERICAN HOT COFFEE,115.5
8269,9202,FRAPPE,316
32823,3597,DARK COLD COFFEE,251
4607,2385,ADD ON ESPRESSO,480.5
13733,3779,MILKSHAKE,133.5
31569,7975,HOT LATTE,623.5
2747,3493,SUPER COLD COFFEE,136.5
7473,8396,MISCELLANEOUS,65.5
11975,731,NATURAL DRINK 3,172
757,959,VANILLA ICE CREAMS,142
1429,4490,DARK COLD COFFEE,315.5
27925,4479,FOOD132,524
24531,1911,COMBO1,157.5
5417,8442,MISCELLANEOUS,153
14617,5680,CRUNCHY FRAPPE,640
32455,6532,FOOD41,55.5
10575,6267,FRAPPE,200.5
20355,1249,AMERICAN HOT COFFEE,151
28127,4062,FRAPPE,206.5
5699,8994,COMBO126,161.5
27165,10400,TOPPING SYRUPS,475
19863,6634,DARK COLD COFFEE,164
33377,791,CHOCOLATE ICE CREAMS,522
3579,4666,MISCELLANEOUS,818.5
34109,353,FRAPPE,526
15129,1379,MISCELLANEOUS,0
23127,232,DARK HOT COFFEE,411
26207,2763,REGULAR HOT COFFEE,121
26465,1000,CRUNCHY FRAPPE,75.5
3013,4096,MISCELLANEOUS,14.5
567,10154,LATTE SHOT,248
8529,6334,MISCELLANEOUS,127.5
11761,3204,MILKSHAKE,307.5
7269,7908,VANILLA ICE CREAMS,140
27957,6561,COMBO3,198
1507,9764,CHEESE SLICE,276
16409,1982,COMBO129,303
1633,3382,AMERICAN HOT COFFEE,61.5
25309,3497,VANILLA ICE CREAMS,346
24895,6779,FLAVOURED TEA9,482
27057,3601,ICE CREAM9,92.5
33557,4699,FRAPPE,350.5
20433,651,FILTER COFFEE,345.5
25637,2194,ESPRESSO HOT COFFEE,144.5
14651,9627,MISCELLANEOUS,366.5
23193,821,AMERICAN HOT COFFEE,62
33481,10198,MISCELLANEOUS,147
19823,6214,CHEESE SLICE,100
33027,7435,FOOD119,410
25619,2279,FOOD90,161.5
9905,9136,WHIPPED CREAM,100.5
30457,8293,FRAPPE,239.5
13435,10023,MISCELLANEOUS,192
26939,2985,HOT CAPPUCCINO,133.5
5571,1390,AMERICAN HOT COFFEE,234.5
17943,10532,AMERICAN HOT COFFEE,61.5
2025,9275,ESPRESSO HOT COFFEE,51.5
30257,6588,AMERICAN HOT COFFEE,58
4687,1539,AMERICAN HOT COFFEE,58
28653,4990,HOT CAPPUCCINO,66.5
9017,5172,REGULAR HOT COFFEE,126
11371,9272,MISCELLANEOUS,127.5
2181,4029,FOOD88,155.5
19451,9249,COMBO1,623
15617,3072,HOT CAPPUCCINO,66.5
18309,6291,ARABIAN HOT COFFEE,301.5
5879,5949,CRUNCHY FRAPPE,450
11173,7095,MISCELLANEOUS,261.5
8841,8024,FRAPPE,337
9679,931,FRAPPE,104
26669,4845,VANILLA ICE CREAMS,107
27247,1584,DARK COLD COFFEE,212
34007,7581,LATTE HOT COFFEE,209.5
23297,79,FOOD10,354
17801,3771,REGULAR HOT COFFEE,139
34773,9658,ICE CREAM8,694
25831,10099,VANILLA ICE CREAMS,276.5
33687,9291,MISCELLANEOUS,221.5
21747,8344,VEGAN COLD COFFEE,698.5
22629,5068,MISCELLANEOUS,251.5
21489,9071,MISCELLANEOUS,69.5
1021,8257,FOOD36,44
28691,1880,CHEESE SLICE,419
11799,9647,MISCELLANEOUS,152.5
10911,466,LATTE HOT COFFEE,568.5
8745,3377,MISCELLANEOUS,139.5
11459,1878,FRAPPE,340
15659,3543,AMERICAN HOT COFFEE,133.5
8707,9351,ICE CREAM8,187
6975,2852,FRAPPE,1001.5
6763,4228,AMERICAN HOT COFFEE,128
5235,6950,CHEESE SLICE,636
23819,9790,#N/A,126.5
14793,8005,FLAVOURED HTO COFFEE,445
2161,2335,MILKSHAKE,78
33071,108,FLAVOURED TEA5,585.5
19495,8083,DARK HOT COFFEE,259
34423,8973,DARK COLD COFFEE,284
26665,8414,COMBO1,258.5
19361,7141,FILTER COFFEE,117
27559,5253,FRAPPE,189.5
34473,5737,SUPER COLD COFFEE,70
5849,8993,FRAPPE,124
1443,1440,FOOD53,223.5
5259,6189,FOOD88,243.5
8487,9647,TOPPING SYRUPS,177
24685,8193,FOOD92,317
21485,6977,SUPER COLD COFFEE,37.5
10651,10670,FLAVOURED HTO COFFEE,169.5
23695,3160,FRAPPE,331.5
4259,2951,CHEESE SLICE,236
9277,2432,FLAVOURED TEA3,155
31941,7294,HOT CAPPUCCINO,255.5
15847,126,TOPPING SYRUPS,8.5
22835,2731,DARK COLD COFFEE,106
25169,3871,CHEESE SLICE,1211.5
20929,1121,COMBO1,219.5
15395,1181,MILKSHAKE,55
11929,4746,COMBO3,582
32309,2432,FRAPPE,80
18233,414,FLAVOURED HTO COFFEE,170
5629,215,HOT CAPPUCCINO,100.5
19423,4741,MISCELLANEOUS,268
29139,9858,NATURAL DRINK 1,306.5
15845,7578,FRAPPE,75.5
30011,4522,FOOD136,575.5
3621,3833,FRAPPE,185.5
16363,6360,AMERICAN HOT COFFEE,115.5
15191,4618,FOOD92,44
575,10700,CRUNCHY FRAPPE,82
11005,5288,AMERICAN HOT COFFEE,145
6337,711,#N/A,244
10591,10075,FLAVOURED TEA3,72
18769,2112,DARK COLD COFFEE,382
16293,3644,FLAVOURED HTO COFFEE,232.5
34411,6491,FRAPPE,279
30759,3827,CHEESE SLICE,131.5
34213,6697,MILKSHAKE,666.5
21435,10660,AMERICAN HOT COFFEE,61.5
8387,2761,MILKSHAKE,188.5
14275,9973,COMBO1,73.5
24371,10669,FLAVOURED TEA9,125
29669,4414,AMERICAN HOT COFFEE,25
6405,1744,FRAPPE,66.5
9659,3047,SUPER COLD COFFEE,221.5
11055,2293,AMERICAN HOT COFFEE,347.5
931,5561,INDIAN COLD COFFEE,218.5
10529,4718,CHEESE SLICE,623.5
7855,1143,COMBO41,513
3179,2312,ADD ON ESPRESSO,129.5
26531,7244,FOOD21,283.5
12131,4925,FRAPPE,721.5
6771,3729,FOOD90,196.5
4525,7430,AMERICAN HOT COFFEE,364.5
12319,9097,LATTE HOT COFFEE,152.5
10991,4745,FRAPPE,266.5
16665,3512,HOT LATTE,70
11339,6763,SUPER COLD COFFEE,324
25905,2184,AMERICAN HOT COFFEE,298
16419,9484,VANILLA ICE CREAMS,213.5
2653,5898,MISCELLANEOUS,80
18689,2852,FLAVOURED TEA9,3620.5
30667,10018,REGULAR HOT COFFEE,272.5
34147,10092,CRUNCHY FRAPPE,214
12375,10063,MISCELLANEOUS,945.5
23305,8690,DARK COLD COFFEE,212
12769,4415,FILTER COFFEE,216.5
8089,6654,FOOD4,616
10321,9834,AMERICAN HOT COFFEE,304.5
11279,3322,FRAPPE,149
32693,4580,FILTER COFFEE,404.5
2803,1788,VANILLA ICE CREAMS,412
28011,2600,FRAPPE,1397
7403,6443,FOOD92,251.5
8875,425,AMERICAN HOT COFFEE,61.5
13337,1539,MISCELLANEOUS,171.5
7841,10393,MISCELLANEOUS,184
23021,10374,FOOD72,391.5
33663,8311,FOOD36,130
5895,6878,FOOD6,292.5
25779,132,COMBO32,458.5
3569,9032,#N/A,2589.5
28783,6677,INDIAN COLD COFFEE,192
30099,1128,ICE CREAM8,464.5
22059,7244,FRAPPE,285.5
10693,3616,FOOD77,428
30173,3412,TOPPING SYRUPS,1110.5
2939,8548,MISCELLANEOUS,265
9369,1521,HOT CAPPUCCINO,337.5
31087,6853,AMERICAN HOT COFFEE,115.5
30243,1190,DARK COLD COFFEE,361
24225,2430,FRAPPE,518.5
5959,1425,TOPPING SYRUPS,943
8943,2679,FLAVOURED HTO COFFEE,394
33239,7033,MISCELLANEOUS,225
25783,1253,CHEESE SLICE,484.5
34373,893,FOOD90,243.5
30939,3591,DARK COLD COFFEE,637.5
6485,177,MISCELLANEOUS,402
16217,8721,MISCELLANEOUS,263
33565,655,FRAPPE,82.5
19047,3332,FOOD85,340.5
31433,6684,LATTE HOT COFFEE,269.5
4953,6875,MISCELLANEOUS,146
32425,5099,CHEESE SLICE,349.5
20931,146,FLAVOURED HTO COFFEE,272.5
13927,9346,MISCELLANEOUS,89
28673,4584,CHEESE SLICE,2095.5
11315,9165,VANILLA ICE CREAMS,216.5
23209,1450,FLAVOURED HTO COFFEE,711.5
8915,4184,FRAPPE,169
22331,3288,MISCELLANEOUS,213
13149,36,FLAVOURED HTO COFFEE,74.5
16607,3162,FOOD102,1924
14765,7510,AMERICAN HOT COFFEE,158
2727,7398,MISCELLANEOUS,218.5
23227,4959,FLAVOURED TEA11,353
34603,1672,ESPRESSO HOT COFFEE,55
12055,10619,CHOCOLATE ICE CREAMS,275
11415,2712,FOOD133,277.5
8723,1626,FOOD123,252.5
28269,7635,FOOD135,457
15369,6006,FLAVOURED HTO COFFEE,234
2607,70,WHIPPED CREAM,176
8301,8733,MISCELLANEOUS,376
3771,3891,AMERICAN HOT COFFEE,86.5
29719,4647,FRAPPE,83
7199,8238,MISCELLANEOUS,393
21935,1557,COMBO31,294
2191,7917,HOT CAPPUCCINO,1214
29495,3670,#N/A,480.5
10005,7678,ARABIAN HOT COFFEE,768
32709,8563,AMERICAN HOT COFFEE,364
26301,6784,FLAVOURED HTO COFFEE,153
5893,8913,ADD ON ESPRESSO,167.5
19529,5632,VANILLA ICE CREAMS,221
14135,5176,AMERICAN HOT COFFEE,194
12399,7800,FLAVOURED HOT COFFEE,296
25677,6208,FOOD81,213.5
19439,7508,COMBO1,318
9657,2877,CHEESE SLICE,126.5
32555,8663,FRAPPE,0
20111,9797,LATTE HOT COFFEE,163.5
23707,2385,CHEESE SLICE,327.5
9057,7616,FRAPPE,321.5
22131,4524,FRAPPE,72
7585,9916,REGULAR HOT COFFEE,66
4133,3169,CHEESE SLICE,151
20969,398,FLAVOURED HTO COFFEE,243.5
4051,9012,TOPPING SYRUPS,125.5
30675,725,MISCELLANEOUS,482
11789,5916,LATTE HOT COFFEE,349
32797,2295,ADD ON ESPRESSO,187.5
31659,1253,MISCELLANEOUS,423
30101,1127,MISCELLANEOUS,79
30203,3593,ADD ON ESPRESSO,240.5
7631,10255,FOOD132,235.5
2087,6234,DARK COLD COFFEE,433.5
23753,6776,COMBO11,265.5
7633,7173,BIG LATTE,145
15847,126,FLAVOURED TEA12,165
11859,4855,FLAVOURED HOT COFFEE,114
28685,5873,MISCELLANEOUS,314
24461,9283,DARK COLD COFFEE,391
21445,909,HOT CAPPUCCINO,980
33845,7698,MISCELLANEOUS,31
24601,2166,ICE CREAM8,534.5
17585,10069,COMBO44,219.5
12841,329,FOOD92,257.5
19855,10421,MISCELLANEOUS,217.5
14187,2573,FLAVOURED HTO COFFEE,275
32115,2681,TOPPING SYRUPS,212.5
17023,5346,MISCELLANEOUS,123
5873,10504,CRUNCHY FRAPPE,156
32465,8644,NEW CAPPUCINO,145
16677,10621,HOT CAPPUCCINO,200
11097,6290,FLAVOURED FRAPPE,84.5
20141,2989,MISCELLANEOUS,224
14777,8280,DARK COLD COFFEE,450.5
33933,10734,MISCELLANEOUS,39.5
30325,8344,REGULAR HOT COFFEE,780.5
10001,725,FOOD4,204
19223,1555,TOPPING SYRUPS,98
25109,188,FOOD99,761
18023,623,MISCELLANEOUS,472.5
29899,2467,AMERICAN HOT COFFEE,327
12715,6055,FOOD102,231.5
18021,8701,COFFEE POWDER TYPE5,103
16981,2968,FLAVOURED TEA11,206
7927,3331,FOOD19,19.5
5435,3712,FOOD88,203
21669,2079,CHEESE SLICE,350.5
22329,9105,COMBO6,145.5
30703,7641,AMERICAN HOT COFFEE,130
23293,3298,CHEESE SLICE,286.5
17513,3042,BRAZILIAN HOT COFFEE,427
28301,10647,REGULAR COLD COFFEE,189
7467,2749,FRAPPE,151
15341,5602,FOOD107,1065.5
31267,10386,MISCELLANEOUS,36
19369,419,LATTE HOT COFFEE,125.5
4225,6353,COOL BLUE,75
9535,4548,FOOD100,4024
34469,8604,FOOD133,505.5
28527,8959,WHIPPED CREAM,207
19565,189,AMERICAN HOT COFFEE,141.5
15127,1951,FRAPPE,317.5
3281,8926,FLAVOURED TEA9,305
24149,6248,TOPPING SYRUPS,158
6553,691,FRAPPE,275
6185,373,FOOD75,251
11185,8390,TOPPING SYRUPS,214.5
21731,8946,AMERICAN HOT COFFEE,72
30851,3311,HOT LATTE,63.5
8257,1135,COMBO1,203.5
3735,1078,DARK COLD COFFEE,254.5
34545,4682,REGULAR HOT COFFEE,469.5
30359,6491,FRAPPE,140.5
21857,2516,FRAPPE,302.5
22401,3652,FRAPPE,151
1483,6233,MILKSHAKE,459
17121,3395,FRAPPE,212
18089,3611,REGULAR HOT COFFEE,517
30669,5215,MISCELLANEOUS,166
32527,8262,COMBO16,104
20753,3502,FOOD136,247.5
755,5415,FOOD36,44
25797,9722,CRUNCHY FRAPPE,447.5
14667,6086,MISCELLANEOUS,5003
5447,1443,COMBO28,638.5
9989,10480,CHEESE SLICE,988.5
23537,7309,COMBO6,79
17633,1951,MISCELLANEOUS,333
12407,321,COOL BLUE,71.5
19339,10176,COMBO21,171
29045,7891,AMERICAN HOT COFFEE,189.5
1637,3737,MISCELLANEOUS,164.5
33395,10437,FOOD37,457
17547,1636,AMERICAN HOT COFFEE,159
3187,2054,MISCELLANEOUS,615.5
1829,8431,MISCELLANEOUS,598.5
21299,895,AMERICAN HOT COFFEE,669.5
17487,2760,AMERICAN HOT COFFEE,245
17665,6868,FRAPPE,672.5
19355,1928,#N/A,73
20189,8745,CRUNCHY FRAPPE,206.5
31239,6831,CHEESE SLICE,373
5407,5581,DARK COLD COFFEE,670.5
25065,5138,CHEESE SLICE,219
7035,4493,ICE CREAM1,229
17217,10367,DARK COLD COFFEE,258
6359,2555,FILTER COFFEE,267
13745,2925,AMERICAN HOT COFFEE,334.5
5925,10192,AMERICAN HOT COFFEE,83
27479,6426,AMERICAN HOT COFFEE,65
2115,8032,SUPER COLD COFFEE,65.5
29783,506,TOPPING SYRUPS,158.5
12267,4735,LATTE SHOT,142
28341,4548,CHEESE SLICE,311.5
7427,2499,CHEESE SLICE,163
18457,1813,MISCELLANEOUS,182.5
19919,1375,ARABIAN COLD COFFEE,283
22291,4598,REGULAR HOT COFFEE,181
25259,1058,TOPPING SYRUPS,11
1999,8244,HOT LATTE,279
11795,4776,AMERICAN HOT COFFEE,131.5
799,4758,MISCELLANEOUS,29
9573,7181,FLAVOURED TEA12,60
27627,10445,ADD ON ESPRESSO,29.5
32665,5721,FRAPPE,0
23769,4891,ESPRESSO HOT COFFEE,54.5
32453,1687,AMERICAN HOT COFFEE,272
20643,2364,ESPRESSO HOT COFFEE,30.5
26451,784,FOOD102,350.5
5365,3312,MISCELLANEOUS,235.5
7231,9920,MISCELLANEOUS,568.5
11495,728,MISCELLANEOUS,683
24557,9381,FOOD49,768
15735,1315,FRAPPE,281
19575,9331,AMERICAN HOT COFFEE,413
22257,1541,AMERICAN HOT COFFEE,200
9095,8269,FOOD7,114
18147,7386,FOOD7,96.5
13043,7788,FOOD40,536.5
12923,7029,FLAVOURED HTO COFFEE,217
17325,2870,FOOD36,89
26281,2784,VANILLA ICE CREAMS,556
32171,10245,FOOD137,240.5
8689,516,LATTE SHOT,81.5
33789,4068,FRAPPE,0
16839,10256,LATTE HOT COFFEE,118
16583,1871,FOOD100,349.5
12571,6896,AMERICAN HOT COFFEE,115.5
5089,5813,COMBO130,128.5
33523,2291,FLAVOURED HTO COFFEE,107
1251,367,MISCELLANEOUS,345.5
2075,6499,VANILLA ICE CREAMS,874
22271,809,VANILLA ICE CREAMS,412.5
34285,3599,ESPRESSO HOT COFFEE,55
21005,188,VANILLA ICE CREAMS,417
5743,2634,FOOD9,250
20905,10462,AMERICAN HOT COFFEE,303
31357,6247,FRAPPE,104
26803,7848,MISCELLANEOUS,854.5
34243,8838,LATTE HOT COFFEE,241.5
25437,7930,AMERICAN HOT COFFEE,177
27155,4241,LATTE HOT COFFEE,264.5
32109,9081,MISCELLANEOUS,88
12119,5521,MILKSHAKE,264
10419,5669,MILKSHAKE,342
1509,6334,AMERICAN HOT COFFEE,180.5
20949,7161,HOT CHOCOLATE,412.5
22593,1498,AMERICAN HOT COFFEE,450.5
28529,7345,AMERICAN HOT COFFEE,123
32369,3689,FLAVOURED TEA9,389
1831,876,COMBO3,260
9061,5600,MISCELLANEOUS,175
33735,7155,FOOD132,237.5
4857,545,COMBO1,79
8789,5573,LATTE HOT COFFEE,112
12813,1778,DARK COLD COFFEE,210.5
20323,1927,FRAPPE,374.5
1823,5417,FRAPPE,83
12849,9769,CHEESE SLICE,353
32317,9967,TOPPING SYRUPS,205
13147,8385,MISCELLANEOUS,181
33269,7851,LATTE HOT COFFEE,140
13943,9362,FRAPPE,100.5
3347,534,COMBO24,496
6807,8159,AMERICAN HOT COFFEE,135
28275,7958,LATTE HOT COFFEE,162
18329,2166,COFFEE POWDER TYPE3,130.5
11395,5716,COMBO24,232
14039,6855,FLAVOURED HOT COFFEE,389.5
26229,4536,FRAPPE,1309.5
21683,1299,TOPPING SYRUPS,447.5
15603,6165,VANILLA ICE CREAMS,486
9759,1393,ETHIOPIAN HOT COFFEE,603.5
24013,10081,HOT CAPPUCCINO,254
19717,5212,COMBO125,73.5
20981,9059,FOOD18,582
23587,3944,FRAPPE,832.5
531,2936,FLAVOURED HTO COFFEE,70
16475,8932,AMERICAN HOT COFFEE,183
28151,4997,MISCELLANEOUS,341.5
30231,8127,FRAPPE,251
7869,8375,WHIPPED CREAM,678.5
29911,4548,MILKSHAKE,373.5
5263,9369,#N/A,99
29245,6111,FRAPPE,197
10453,7121,FLAVOURED HTO COFFEE,282.5
31015,3552,FLAVOURED HTO COFFEE,232
18137,5977,COMBO11,190.5
10283,3932,FOOD133,180
33051,78,MISCELLANEOUS,432
21275,786,CHEESE SLICE,494.5
28829,814,FOOD33,987
23553,4289,MISCELLANEOUS,182
23957,3685,SUPER COLD COFFEE,1061.5
21131,1448,COOL BLUE,275
2633,9579,FRAPPE,205
14401,3201,MISCELLANEOUS,209.5
9717,10244,MISCELLANEOUS,127.5
32949,9349,VANILLA ICE CREAMS,106.5
21275,786,FOOD36,126
26097,286,COMBO1,148
2789,7503,LATTE HOT COFFEE,396
6729,8533,FRAPPE,150.5
16025,8492,FOOD78,268
27339,7823,FLAVOURED TEA9,169
6263,9159,AMERICAN HOT COFFEE,58
20483,10374,MISCELLANEOUS,174.5
27789,570,#N/A,118.5
10237,6960,AMERICAN HOT COFFEE,61.5
33905,7661,VANILLA ICE CREAMS,164
15813,8842,FRAPPE,273.5
32571,6111,MISCELLANEOUS,307.5
2961,1514,NATURAL DRINK 1,283
20071,5274,LATTE HOT COFFEE,39.5
30041,5099,AMERICAN HOT COFFEE,174.5
18719,2946,MISCELLANEOUS,401.5
22921,2444,LEMONADE,211.5
15363,4091,ICE CREAM9,188
25249,1948,FRAPPE,79
18497,3916,DARK COLD COFFEE,136.5
15703,490,MISCELLANEOUS,738.5
30893,10111,MISCELLANEOUS,416
25085,2393,FOOD4,384
9219,117,FRAPPE,479
32969,3274,MISCELLANEOUS,218
10735,2670,FOOD4,181
23439,441,VANILLA ICE CREAMS,190
26269,5166,FOOD5,290
22009,3653,FOOD10,82.5
4513,6139,FOOD135,794.5
13211,5386,FRAPPE,158
14047,8286,VANILLA ICE CREAMS,552.5
21427,7852,MISCELLANEOUS,170.5
2053,8101,MISCELLANEOUS,90.5
2279,8554,FOOD90,227.5
20547,5604,CHEESE SLICE,246
29355,5468,FOOD26,49
25001,5078,MISCELLANEOUS,194.5
15567,5491,LATTE HOT COFFEE,153
15213,2539,DARK COLD COFFEE,257.5
30321,5737,AMERICAN HOT COFFEE,61.5
475,1732,#N/A,95
17359,5719,TOPPING SYRUPS,319
32355,1178,TOPPING SYRUPS,262.5
28641,2380,TOPPING SYRUPS,413.5
7305,7211,FOOD36,141
19673,1219,INDIAN COLD COFFEE,106
22767,4006,ADD ON TEA,293.5
11467,661,FRAPPE,176
25389,10067,AMERICAN HOT COFFEE,149
31743,9030,FRAPPE,398.5
29829,5997,AMERICAN HOT COFFEE,66.5
10121,6300,FRAPPE,178.5
24019,3582,FRAPPE,102.5
25741,3230,MISCELLANEOUS,182
30567,5878,CHEESE SLICE,342.5
25381,9084,INDIAN COLD COFFEE,390.5
13931,10612,VANILLA ICE CREAMS,314.5
29715,691,MISCELLANEOUS,159
4449,2022,DARK COLD COFFEE,137.5
4177,3160,FOOD6,377
33801,5197,FRAPPE,0
12035,7567,FOOD117,410
18005,4659,CRUNCHY FRAPPE,113.5
11611,2543,LATTE HOT COFFEE,352
4333,3056,AMERICAN HOT COFFEE,61.5
28849,47,#N/A,271
24463,7802,MISCELLANEOUS,415
9767,6175,AMERICAN HOT COFFEE,268.5
28755,985,DARK COLD COFFEE,275
8763,10255,FOOD107,321
15491,5950,FRAPPE,109
11373,7632,FOOD6,127.5
14055,9848,SUPER COLD COFFEE,197.5
24491,4179,FRAPPE,522
17615,651,FRAPPE,157.5
27731,6309,FILTER COFFEE,201.5
18229,7085,MISCELLANEOUS,104
2379,10628,ICE CREAM6,192
20029,1308,CRUNCHY FRAPPE,269.5
17003,4851,FOOD70,100
12373,3393,FOOD92,296
28389,9503,MISCELLANEOUS,623.5
7767,6560,CHEESE SLICE,176.5
23417,5446,FLAVOURED TEA9,1199
8873,4586,TOPPING SYRUPS,314.5
23287,410,FRAPPE,270.5
3059,9647,AMERICAN HOT COFFEE,61.5
23689,3455,COMBO7,228
7751,3649,REGULAR HOT COFFEE,181
27019,2313,MISCELLANEOUS,238
29939,5318,MISCELLANEOUS,356
26833,5042,MISCELLANEOUS,369
30329,4761,VANILLA ICE CREAMS,345.5
23275,9220,MISCELLANEOUS,79
12543,7936,LATTE HOT COFFEE,202.5
30277,1678,FRAPPE,297.5
12031,10730,MISCELLANEOUS,12.5
14379,9355,MISCELLANEOUS,351
22033,8170,MISCELLANEOUS,707.5
21491,8855,COMBO125,161.5
26235,4977,FOOD38,717
1325,8611,TOPPING SYRUPS,171
29523,5470,FOOD5,252
29053,9491,AMERICAN HOT COFFEE,0
23013,8528,LEMONADE,244.5
33167,1494,FRAPPE,175
29929,7603,AMERICAN HOT COFFEE,115.5
1907,1947,MISCELLANEOUS,153
30931,4344,AMERICAN HOT COFFEE,239.5
6373,10378,TOPPING SYRUPS,288
30877,7784,HOT CAPPUCCINO,434
8521,6949,FRAPPE,213
27953,9859,FLAVOURED TEA5,344
29819,3492,FRAPPE,272.5
15697,1525,NATURAL DRINK 1,81.5
30117,1639,AMERICAN HOT COFFEE,123
